일련번호,제목,작성일,내용,주소,썸네일,작성자,제목_키워드
11,"소고기를 위한 ‘도메인 드리븐’ 실현, 조환 설로인 개발리더",2023.05.22.,"비즈니스를 코드로 구현하기 위해 분투하고 있는 다양한 프로그래머의 고민, 문제 해결, 성장 이야기를 들어보고자 합니다. 시리즈 첫 번째로, 소고기 시장을 코드에 담고 있는 조환 설로인 개발 리드를 만나 인터뷰했습니다. 새로운 도메인에서 문제를 풀어가는 프로그래머들, 성장하고 싶으나 무엇을 더 잘해야 할지 고민이었던 프로그래머들, 비즈니스를 진지하게 고민하는 프로그래머들에게 도움이 되길 바랍니다.",https://yozm.wishket.com/magazine/detail/2033/,https://yozm.wishket.com/media/news/2033/image3.jpg,안영회,그것이 알고 싶다
12,내가 파이콘 한국을 사랑한 이유,2023.05.22.,"나는 2014년 첫 파이콘 한국에 자원봉사자로 참석한 이후, 파이콘만의 매력에 빠져 준비위원회에 합류했고, 2016 ~ 2019까지 총 4회의 파이콘 한국을 같이 만들었다. 아마도 내가 빠진 매력은 지난 10년동안 건강한 개발자 컨퍼런스를 만드는 데 가장 큰 역할을 한 파이콘만의 장점이자, 파이콘이 개발자 컨퍼런스 그 이상의 가치를 가지게 하는 요소라고 확신한다. 사실 이 매력은 참가자 입장에서는 잘 보이지 않는다. 이제부터 내가 빠졌던 파이콘의 매력을 여러분들도 같이 느끼면서 올해 열릴 파이콘 한국을 더 재미있게 즐겼으면 좋겠다.",https://yozm.wishket.com/magazine/detail/2032/,https://yozm.wishket.com/media/news/2032/image1.jpg,조성수,자바
13,[쉽게 배우는 AI] 5. 독립변수와 종속변수란?,2023.05.19.,"독립변수와 종속변수는 통계학과 머신러닝에서 중요한 개념입니다. 얼핏 보면 어려워 보일 수 있지만 이렇게 생각하면 이해하기 쉬울 것입니다. 독립변수를 ""왜?"", 종속변수를 ""결과가 어떻게 달라질까?""라고 말이죠. 원인은 결과와 상관없이 일어나는 사건, 즉 결과에 영향을 받지 않는 독립적인 사건이지만 결과는 원인에 종속되어 발생하는 사건입니다. 원인은 독립적이기 때문에 독립변수, 결과는 원인에 종속되어 있기 때문에 종속변수라고 합니다. 독립변수가 변할 때 종속변수도 변화하며 이 관계를 통해 우리는 어떤 영향을 예측하거나 설명할 수 있습니다.",https://yozm.wishket.com/magazine/detail/2031/,https://yozm.wishket.com/media/news/2031/5화_썸넬.jpg,코믹스택,표
14,로우 코드·노코드 열풍 속 개발자 일자리 괜찮을까?,2023.05.19.,"로우 코드, 노코드 솔루션은 코딩에 대한 배경지식이 거의 없는 사용자에게 유용하다. 로우 코드 및 노코드 플랫폼을 통해 기존 프로그래밍 대신 GUI(그래픽 사용자 인터페이스)를 사용하여 비즈니스 애플리케이션을 구축할 수 있기 때문이다. 로우 코드, 노코드 채택은 디지털 트랜스포메이션에서 매우 빠르게 성장하고 있는 기술이기도 하다. 이제 누구나 개발자가 될 수 있는 시대다. 이번 글에서 로우 코드와 노코드의 열풍 속 개발자의 미래에 대해 살펴보고자 한다.",https://yozm.wishket.com/magazine/detail/2030/,https://yozm.wishket.com/media/news/2030/25469811_developer_male__1_.jpg,주길재,코드
15,개발자가 알아두면 좋은 ‘재현 가능한 예제’ 활용법,2023.05.18.,"에러 해결을 위한 가장 확실한 방법은 코드 전체를 확인하는 것입니다. 하지만 모든 코드를 확인하는 것은 현실적으로 어렵습니다. 따라서 에러 해결을 위한 가장 효율적인 방법은 현재 겪고 있는 상황을 잘 정리하여 질문하는 것입니다. 이때 재현 가능한 예제(또는 reprex)를 활용할 수 있는데요. 이 방법은 질문자의 현 상황을 답변자가?쉽고 정확하게 이해하고, 문제를 해결하는 데 도움을 줄 수 있도록 현상을 구현하는 것을 말합니다. 이번 글에서 개발자가 알아두면 좋은 재현 가능한 예제와 reprex 활용법에 대해 살펴보겠습니다.",https://yozm.wishket.com/magazine/detail/2027/,https://yozm.wishket.com/media/news/2027/image10.png,애옹킴,사이버
16,"개발자 생활 첫 10년, 이 세 가지가 중요합니다",2023.05.17.,"앞으로 30년 혹은 그 이상을 개발자로 살고 싶은 분들께 조금이나마 도움이 되었으면 하는 마음으로 제 경험을 3회차의 연재 글로 풀어볼 겁니다. 1) 성장하는 10년, 2) 리딩하면서 일하는 10년, 3) 서포트하는 10년 (경영과 사업의 10년) 제 이야기가 여러분께, 혹은 지금 시기에 딱 맞지 않을 수도 있습니다. 그럼에도 가능하면 시간이 지나도 살아있는 콘텐츠가 될 수 있도록 핵심에 집중했습니다. 개발자 여러분께 도움이 되길 희망합니다.",https://yozm.wishket.com/magazine/detail/2025/,https://yozm.wishket.com/media/news/2025/programming-background-concept.jpg,골든래빗,주니어
17,코드 가독성 높이는 자바 람다식과 함수형 인터페이스,2023.05.17.,"자바(Java)는 시간이 지남에 따라 발전하면서 더욱 효율적이고 간결한 코드를 작성할 수 있도록 다양한 기능을 제공하고 있습니다. 특히 자바 8부터 도입된 람다식과 함수형 인터페이스는 자바에서 함수형 프로그래밍 패러다임을 적용할 수 있게 했는데요. 이 글에서는 자바 람다식(Lambda expression)에 대한 기본 개념을 살펴보고, 람다식의 기본 문법과 함수형 인터페이스의 도입 배경 및 활용법에 대해 정리해 보았습니다.",https://yozm.wishket.com/magazine/detail/2023/,https://yozm.wishket.com/media/news/2023/image8.png,곰씨네 IT 블로그,데이터
18,"그것이 알고 싶다, 사이버 범죄의 온상 다크웹",2023.05.16.,"다음 사건들의 공통점은 무엇일까? 성 착취 영상물 유포로 사회적 이슈를 불러일으킨 N번방 사건, 온라인을 통한 불법 마약 구매 사건, 국내 통신사 및 병원 등의 개인정보 온라인 공개 사건. 정답은 ‘블랙 트라이앵글(Black Triangle)’을 이용해 수사망과 법망을 피한 불법행위 사건이라는 점이다. 블랙 트라이앵글은 마약 유통, 아동 성 착취 영상, 자금 세탁, 총기 거래 등 범죄행위를 위해 다크웹이나 텔레그램, 암호화폐를 이용한 불법 카르텔을 의미한다. 최근 국내에서도 관련 범죄가 증가하고 있다. 이번 글에서는 블랙 트라이앵글 요소 중 하나인 다크웹의 피해 현황과 대응 방안에 대해 살펴보고자 한다.",https://yozm.wishket.com/magazine/detail/2022/,https://yozm.wishket.com/media/news/2022/image3.png,김보안,Java
19,자바 개발자를 위한 컨테이너 이미지 빌드,2023.05.15.,쿠버네티스 기반의 시스템을 운영하고 있다면 CI/CD 과정에서 반드시 컨테이너 이미지를 생성하는 과정을 거쳐야 합니다. 이 글에서는 컨테이너의 기본 개념과 자바 개발자를 위한 효과적인 컨테이너 이미지 생성 방법을 알아봅니다.,https://yozm.wishket.com/magazine/detail/2018/,https://yozm.wishket.com/media/news/2018/6.png,조훈(CNCF & NCP 앰버서더),머신
20,[쉽게 배우는 AI] 4. 표와 데이터 셋,2023.05.12.,"무작위하게 흩어져있는 데이터를 정리할 때 어떤 방법을 사용하면 좋을까요? 보통 표와 그래프를 가장 많이 사용합니다. 정리된 데이터 상태를 보고 싶을 때는 표를, 변화의 흐름이나 정도 등을 확인할 때는 그래프를 사용합니다. 아무리 복잡한 데이터라도 표라는 시각화 도구를 잘 사용하면 깔끔하게 정리할 수 있습니다. 표를 기반으로 하는 도구인 ‘엑셀’, ‘데이터베이스‘에 데이터를 넣어주면, 강력한 컴퓨팅 파워를 사용할 수 있게 됩니다.",https://yozm.wishket.com/magazine/detail/2017/,https://yozm.wishket.com/media/news/2017/7__1_.png,코믹스택,데이터
21,"비전공자 개발자 취업, 어떻게 준비해야 할까?",2023.05.12.,"ChatGPT와 같은 강력한 생성 AI의 등장으로, 코딩하는 개발자의 시대는 끝났다는 이야기도 심심찮게 들려오고 있다. 하지만 그럼에도 여전히 개발자에 대한 사회적 수요는 높고, 개발자를 꿈꾸는 지망생도 많다. 나는 뒤늦게 컴퓨터 공학을 복수전공하긴 했지만, 원래 어문학과를 다녔기 때문에 완벽한 전공자라고는 볼 수 없다. 그래서 이번 글에서 비전공자로서 개발자를 꿈꾸는 사람들에게 공부 방법과 추천 도서, 취업 준비 팁 등을 공유하고자 한다.",https://yozm.wishket.com/magazine/detail/2016/,https://yozm.wishket.com/media/news/2016/image6.png,Kani,ChatGPT
22,-10배 엔지니어가 되는 방법,2023.05.10.,이 글은 10x 엔지니어가 아닌 -10배의 엔지니어가 되는 법에 대해 작가의 개인적인 견해를 담은 글입니다. +10배의 엔지니어는 신화적인 인물일지 몰라도 -10배의 엔지니어는 존재합니다. -10배의 엔지니어가 되려면 주당 400시간의 엔지니어링 시간을 신나게 낭비하면 됩니다. 아래의 전략들을 조합해 보세요.,https://yozm.wishket.com/magazine/detail/2012/,https://yozm.wishket.com/media/news/2012/image1.jpg,요즘IT의 번역글들,데이터
23,깃옵스(GitOps)를 여행하려는 입문자를 위한 안내서,2023.05.10.,"쿠버네티스를 활용하여 시스템을 운영하는 과정에서 팀과 시스템의 요구 사항을 충족시키기 위한 다양한 전략을 만나게 됩니다. 대표적인 전략으로는 개발(Dev)과 운영(Ops)을 유기적으로 결합하여 효과적인 협업을 통한 빠른 배포를 가능하게 하는 데브옵스(DevOps), 개발(Dev)과 보안(Sec) 그리고 운영(Ops)을 결합하여 개발부터 운영까지 모든 단계에서 보안을 강화하는 데브섹옵스(DevSecOps), 머신러닝(ML)과 운영(Ops)을 결합하여 머신러닝과 관련된 환경의 구축과 운영에 대한 효율성을 높여주는 MLOps 등이 있습니다. 이 안내서에서는 자동화 도구와 소스 코드 관리 도구인 깃(Git)을 결합하여 쿠버네티스의 리소스를 배포하는 전략인 깃옵스(GitOps)의 개념을 알아보고 깃옵스에 활용할 수 있는 자동화 도구에 대해서도 살펴보겠습니다.",https://yozm.wishket.com/magazine/detail/2010/,https://yozm.wishket.com/media/news/2010/image2.png,조훈(CNCF & NCP 앰버서더),클라우드
24,사이버 보안 위험: 숫자로 표현하는 ‘CVSS’,2023.05.09.,"CVSS는 사이버 보안에 미치는 취약점의 위험성을 나타내는 수치로, 공통 취약점 등급 시스템(Common Vulnerability Scoring System)을 뜻한다. CVSS는 미국 국립표준기술연구소(NIST)가 지원하는 MITRE의 보안 취약점 관리 체계 ‘CVE(Common Vulnerabilities and Exposure)’ 요소 중 하나로 기밀성, 무결성, 가용성, 취약점의 접근 경로 및 복잡도, 인증 여부, 복잡성 등을 반영하여, 소프트웨어 보안 취약점을 평가하는 지표로 사용되고 있다.",https://yozm.wishket.com/magazine/detail/2009/,https://yozm.wishket.com/media/news/2009/image1.png,김보안,머신
25,코드 리뷰에 ‘켄트 벡’의 아이디어 접목하기,2023.05.09.,"<코드 리뷰가 개발 문화에 미치는 영향>이 발행된 바로 그날, 존경하는 프로그래머인 켄트 벡Kent Beck도 코드 리뷰에 대해 쓴 글 <Thinking About Code Review>을 발행했습니다. 우연이긴 했지만, 마침 코드 리뷰에 대한 글을 막 쓰고 난 참이라 제 글에 다루지 않았던 측면을 살펴 글로 추가하면 좋겠다는 생각이 들었습니다.",https://yozm.wishket.com/magazine/detail/2007/,https://yozm.wishket.com/media/news/2007/image1.png,안영회,주니어
26,주니어 개발자를 위한 TCP/IP 주요 프로토콜 알아보기,2023.05.08.,"이전 글 ‘주니어 개발자를 위한 엄청 쉬운 TCP/IP 4계층 이야기’에서, 컴퓨터와 컴퓨터의 통신이 올바르게 이루어지기 위해 데이터가 각각 어떤 계층에서 캡슐화되어야 하는지 알아보았습니다. 또한 데이터가 목적지에 정확히 전달되기 위해 계층별로 어떠한 프로토콜(약속)로 구성되어 있는지도 간단히 알아보았습니다. “응용, 전송, 인터넷, 네트워크 액세스 순으로 캡슐화”라는 큰 개념만 알아보았다면, 이번 시간에는 앞서 언급한 각 계층의 대표적인 프로토콜들에 대해 좀 더 알아보고, 각 프로토콜이 네트워크에서 어떻게 이용되는지 확인해 보겠습니다.",https://yozm.wishket.com/magazine/detail/2005/,https://yozm.wishket.com/media/news/2005/5-3.png,Morian,초보
27,[쉽게 배우는 AI] 3. 데이터 산업과 직업,2023.05.04.,"우리가 사는 현실을 데이터로 변환할 수 있다면, 컴퓨터의 힘으로 많은 일을 해낼 수 있습니다. 이렇게 변환된 데이터를 활용하기 위한 방법 중 하나가 바로 머신러닝입니다. 복잡한 현실을 데이터화한다면 머신러닝을 통해 쉽게 처리할 수 있는 것이죠. 그렇다면 현실을 데이터화하는 작업은 어떻게 이루어질까요?",https://yozm.wishket.com/magazine/detail/2004/,https://yozm.wishket.com/media/news/2004/섬네일-222.jpg,코믹스택,그렉
28,쿠팡이 '공간 색인'으로 로켓배송 개선한 방법,2023.05.04.,"택배 상자와 봉투들을 가장 효율적으로 배송하려면, 배송 시스템은 정확히 배송지 주소를 파악하고 이를 바탕으로 가장 적합한 배송 영역을 찾아낸 다음 담당자에게 운전 경로를 안내해 주어야 합니다. 허나 저희의 기존 시스템은 텍스트로 된 주소와 우편번호에 의존했고, 직관적이고 기능적인 부분도 부족하여 저희의 복잡한 운영 니즈를 만족시키지 못했습니다. 이에 저희는 배송 영역을 지도 위에 시각화하고, 직접 지도를 수정할 수 있는, 그리고 최적화에 필요한 수치 및 통계가 추가로 제공되는 시스템의 개발을 위한 프로젝트를 시작했습니다.",https://yozm.wishket.com/magazine/detail/2002/,https://yozm.wishket.com/media/news/2002/9.png,쿠팡 엔지니어링,커밋
29,2023년 쿠버네티스 표준 아키텍처,2023.05.02.,"2023년 쿠버네티스를 보다 원할하게 사용하기 위한 많은 제품들이 나와 있지만, 역설적으로 너무 많은 제품들이 있기 때문에 오히려 선정하기 어려움이 있습니다. 이에 시장에서 많은 레퍼런스를 가지고 있고, 안정적으로 동작하는 제품들로 구성된 표준 아키텍처가 있어야 한다고 판단했습니다. 다음의 선정한 제품들은 쿠버네티스를 시작하는 분들은 위한 가이드 또는 새로운 영역을 구성 추가할 때 참고할 수 있는 내용이라고 이해해 주시면 좋겠습니다. 일부는 이미 디 팩토(de facto / 사실상 표준)인 경우도 있지만, 상황에 따라서는 한국 시장에 맞게 선정한 제품도 있습니다.",https://yozm.wishket.com/magazine/detail/1998/,https://yozm.wishket.com/media/news/1998/2.png,조훈(CNCF & NCP 앰버서더),쿠팡
30,[쉽게 배우는 AI] 2. 머신러닝 모델이란?,2023.04.28.,"머신러닝에서 모델은 입력 데이터와 출력 데이터 사이의 패턴과 관계를 학습하기 위해 데이터 세트에서 훈련된 프로그램으로, 회귀, 의사 결정 트리, 신경망 등 많은 기술을 사용하여 훈련될 수 있습니다. 우리는 이 훈련 모델을 사용해 보이지 않는 새로운 결과를 예측할 수 있는데요. 정리하면 모델은 복잡한 시스템을 단순화하여 더 잘 이해할 수 있게 해주는 방법으로, 데이터를 기반으로 예측할 수 있게 도와줍니다.",https://yozm.wishket.com/magazine/detail/1997/,https://yozm.wishket.com/media/news/1997/Frame_222.png,코믹스택,개발자
31,넷마블 테크니컬 라이터로 일한 8개월의 회고,2023.04.28.,"저는 넷마블에서 테크니컬 라이터로 근무 중입니다. 저는 작년 8월에 합류해 기술 블로그 운영과 기술 문서 작성, 편집, 관리를 하고 있습니다. 문득 뒤돌아보니 벌써 8개월이라는 시간이 흘렀습니다. 그런데 기술 블로그를 운영하면서 여러 가지 넷마블의 이야기를 소개했지만 정작 기술 블로그를 운영하는 테크니컬 라이터의 이야기를 한 적은 없더라고요. 그래서 넷마블 테크니컬 라이터로 8개월간 일했던 이야기를 해보려고 합니다.",https://yozm.wishket.com/magazine/detail/1996/,https://yozm.wishket.com/media/news/1996/8838826.jpg,넷마블 기술 블로그,프론트
32,플러터가 다른 크로스 플랫폼보다 더 강력한 이유,2023.04.27.,"플러터(Flutter)는 2017년 구글이 출시한 모바일, 웹, 데스크톱 크로스 플랫폼 GUI 애플리케이션 프레임워크입니다. 하나의 코드 베이스로 안드로이드, iOS, 윈도우즈, 리눅스 및 웹용 애플리케이션과 구글 퓨시아용 앱의 주된 소스코드로 사용되고 있습니다. 이번 글은 출판사 골든래빗이? [MUST HAVE 코드팩토리의 플러터 프로그래밍]에서 발췌한 두 개의 글을 요즘IT에서 편집한 글입니다. 1) 플러터가 다른 크로스 플랫폼보다 더 강력한 성능을 낼 수 있는 원리와 2) 플러터로 모바일 앱을 만들 때 사용하는 안드로이드 스튜디오에 대해 소개합니다.",https://yozm.wishket.com/magazine/detail/1994/,https://yozm.wishket.com/media/news/1994/플러터_섬네일.jpg,골든래빗,테스트
33,미드레벨 SW 엔지니어가 갖춰야 할 7가지 역량,2023.04.27.,"소프트웨어 엔지니어로 2-3년 정도 경력이 쌓이면 이제 주니어 레벨에서 벗어날 준비가 필요하다. 회사에서도 한 단계 높은 미드레벨 개발자의 역량을 요구하기 때문이다. 평균적인 수치로 경력을 2-3년이라고 했지만 이는 사람마다 다를 수 있다. 빠르면 1년 이내 미드레벨에 도달할 수도 있고, 길면 4-5년 차 또는 그 이상이 될 수도 있다. 일반적으로 많은 회사에서 개발자 채용 시 ‘3년 이상의 경력’을 요구하는데, 해외에서는 L4 정도의 레벨을 의미한다. 이번 글에서는 주니어 개발자가 미드레벨에 도달하기 위해, 어떤 역량이 필요한지 필자의 경험을 토대로 살펴보고자 한다.",https://yozm.wishket.com/magazine/detail/1993/,https://yozm.wishket.com/media/news/1993/html-css-collage-concept-with-person.jpg,데브오웬,개발자
34,??ChatGPT로 쿠버네티스 관리하는 방법,2023.04.26.,"최근 ChatGPT에 대한 관심이 뜨겁습니다. ChatGPT는 단순 개발부터 보안, 업무 자동화 등 다양한 분야에 적용되고 있으며, 이를 더 잘 활용하기 위한 방법 또한 많은 관심을 받고 있습니다. 이번 글에서는 GPT 기술을 활용한 쿠버네티스 관리 방법에 대해 알아보겠습니다.",https://yozm.wishket.com/magazine/detail/1990/,https://yozm.wishket.com/media/news/1990/쿠버네티스.png,테크유람,코드
35,데이터 주도 프로덕트 개발을 위한 실험 환경 세팅하기,2023.04.25.,"PO(Product Owner)는 옵션 A를 진행할지, 옵션 B를 진행할지, 또는 더 나은 결과를 얻으려면 어떤 버전의 화면을 구현해야 하는지 고민하는 경우가 많습니다. 특히 제한된 리소스로 촉박한 마감 시한에 쫓기는 경우 이러한 결정을 내리는 것은 어려운 일일 수 있습니다. 게다가 이러한 결정은 개인적인 판단이나 경쟁사의 접근 방식을 모방하여 이루어지기 때문에 최적의 결과를 얻지 못할 수 있습니다. 다행히도 비교적 적은 노력으로 간단한 실험 환경을 세팅하면 이러한 함정을 피할 수 있습니다. 이 글에서는 이를 달성하는 방법을 설명하고자 합니다.",https://yozm.wishket.com/magazine/detail/1988/,https://yozm.wishket.com/media/news/1988/image2.png,요즘IT의 번역글들,주니어
36,클라우드 비용 최적화: 수백만 달러 절약한 쿠팡의 노력,2023.04.24.,"쿠팡의 파이낸스 및 엔지니어링 팀들은 지난 몇 분기 동안 로드맵을 바탕으로 서로 협력하며 클라우드 서비스에 지출되는 온디맨드(on-demand) 비용을 관리하고 최적화해왔습니다. 여러 엔지니어링 조직들이 하나의 팀이 되어 노력했기에 가능한 일이었습니다. 하나의 팀으로서 저희는 다음과 같은 세 가지 핵심 원칙 하에 비용 최적화 작업을 수행했고, 이 포스트를 통해 어떤 작업이 이루어졌는지 공유드리고자 합니다.",https://yozm.wishket.com/magazine/detail/1987/,https://yozm.wishket.com/media/news/1987/1.png,쿠팡 엔지니어링,쿠팡
